Project,Project Description,Paticipant Name,Room,Activity,Time Spent(in min.)
Floor 1,The general medical ward,Joseph,Surgery,Patient interaction,10
Floor 1,The general medical ward,Joseph,Surgery,General checkup,15
Floor 1,The general medical ward,Joseph,Surgery,Hearrate checkup,10.1
Floor 1,The general medical ward,Joseph,Surgery,Blood pressure check,5.6
Floor 1,The general medical ward,Joseph,Surgery,Drug referral,5.4
Floor 1,The general medical ward,Joseph,Surgery,Data upload,5
Floor1,The general medical ward,Joseph,X-ray,Chest Scan,4.5
Floor1,The general medical ward,Joseph,X-ray,Skull Scan,4
Floor1,The general medical ward,Joseph,X-ray,Fullbody scan,6
Floor1,The general medical ward,Joseph,X-ray,X-ray analysis,10
Floor1,The general medical ward,Joseph,X-ray,Drug referral,14.1
Floor1,The general medical ward,Joseph,Cardio,Patient interaction,12.6
Floor1,The general medical ward,Joseph,Cardio,Hearrate checkup,16
Floor1,The general medical ward,Joseph,Cardio,Bone marrow check,4.8
Floor1,The general medical ward,Joseph,Cardio,BMI check,20.2
Floor1,The general medical ward,Joseph,Cardio,Drug referral,3
Floor1,The general medical ward,Joseph,Dental,Cavity check,14
Floor1,The general medical ward,Joseph,Dental,Eating habit discussion,5.8
Floor1,The general medical ward,Joseph,Dental,Drug referral,5
